id,category,product_name,description
1,Electronics,Smartphone X100,A high-end smartphone with a 50MP camera and OLED screen.
2,Electronics,Wireless Earbuds,Noise-canceling Bluetooth earbuds with 24-hour battery life.
3,Electronics,Laptop Pro,15-inch laptop for programming with 16GB RAM and fast SSD.
4,Home & Kitchen,Coffee Maker,Automatic drip coffee machine with programmable timer.
5,Home & Kitchen,Blender 5000,"High-speed blender for smoothies, soups, and crushing ice."
6,Office,Ergonomic Chair,Comfortable office chair with lumbar support and adjustable armrests.
7,Office,Mechanical Keyboard,Tactile mechanical keyboard for fast typing and programming.
8,Books,Python Crash Course,A practical introduction to programming in Python.
9,Books,Calculus Vol 1,University textbook covering derivatives and integrals.
10,Pets,Dog Food Premium,High-protein dry food for adult dogs.
11,Pets,Cat Tree,Multi-level scratching post and bed for indoor cats.
12,Automotive,Car Wax,Premium synthetic wax for high gloss and UV protection.
13,Automotive,Tire Pump,Portable air compressor for car tires and bicycles.
14,Health,Vitamin C,Daily immune support supplement with 1000mg active ingredients.
15,Health,First Aid Kit,Comprehensive medical kit for emergencies and minor injuries.
